"OPTY_ID","DRVD_BU_MKT_SEG_NM","DRVD_SVP_REGN_NM","OPTY_BAND","WON_AMT","OPTY_NM","OPTY_TYP","OPTY_SRC_NM","LEAD_TYP","OPTY_AGE","WON_FLG","INDUSTRY_NM","EMP_BAND","SPRT_LVL_NM"
"0063000000wJtMGAA0","Other","EMEA","<1K",0,"RMF e.V. - Webstore","New Business","AE","Other",1871,"N","Other","<50","Basic"
"0060M000015ZoEFQA0","ESMB","EMEA","<1K",0,"Nottingham Audio Visual Services Ltd - Webstore","Add-On Business","AE","Other",0,"N","Retail & CG","<50","Basic"
"0060M000015KLzCQAW","CMRCL","AMER","1K-5K",0,"Corruven (+2)3 EE","Add-On Business","AE","Other",0,"N","Other","<50","Basic"
"0060M000013oYUCQA2","ESMB","JP","100K-500K",0,"BellFace,inc.-EE+2(37),EAS(2),Premier","Add-On Business","AE","Other",0,"N","High Tech","<50","Premier"
"00630000012mZtEAAU","Other","AMER","5K-10K",0,"Signature Pet Products (+7) 7 PE","New Business","SDR","Sign-Up Form",1039,"N","Retail & CG","<50","Basic"
"0063000000cQfDtAAK","Other","AMER","1K-5K",0,"scocan.ca- (+5) 5GE","New Business","SDR","Inbound Call",2953,"N","Other","<50","Basic"
"0060M000015X7v5QAC","ESMB","JP",">500K",0,"Tribute Co., Ltd.- PE(14), Premier,pardot growth+1(1)","Add-On Business","AE","Other",0,"N","Engineering, Construction, & Real Estate","<50","Premier"
"0060M000014sqKTQAY","ENTR","JP","<1K",0,"★SMBC Trust Bank Ltd.-FSC+80(100)[EBR] ph2","New Business","AE","Other",0,"N","Financial Services","200-1000","Premier"
"0060M000013VC5KQAW","Other","AMER","5K-10K",0,"Global Wines Distribution Virginia (+10) 10 SFIQ Growth","New Business","AE","Other",0,"N","Other","<50","Basic"
"0060M000015KLvjQAG","CMRCL","AMER","1K-5K",0,"Johnny Brown PSA","Add-On Business","AE","Other",0,"N","Professional Services","<50","Basic"
"0060M000015SqufQAC","CMRCL","EMEA","<1K",0,"The Hellenic Management Association FDN DEC20 AutoRenew","Renewal","AE","Other",0,"N","Other","50-200","Basic"
"00630000010pA1OAAU","Other","AMER","1K-5K",0,"Givingtons","New Business","AE","Other",1170,"N","Retail & CG","<50","Basic"
"0060M000014XiTUQA0","Other","EMEA","<1K",0,"Dentons - CRM - Placeholder","New Business","BDR","Other",0,"N","Professional Services","1000-5000","Basic"
"0063000000x62wFAAQ","Other","AMER","1K-5K",0,"Instapage-(+1) 1 force + Sandbox","Add-On Business","SDR","Chat",1659,"N","Other","<50","Basic"
"0060M000013UTWAQA4","Other","AMER","5K-10K",0,"Real Food Sales (+5) SFIQ","New Business","SDR","Other",0,"N","Professional Services","<50","Basic"
"00630000010ODlIAAW","Other","AMER","<1K",0,"Taste.com - (+1) 1 PE/EE","New Business","SDR","Sign-Up Form",1183,"N","Professional Services","<50","Basic"
"0060M000015Xml1QAC","ESMB","EMEA","<1K",0,"Bluebird Aero Systems* - Webstore","Add-On Business","AE","Other",0,"N","Manufacturing","50-200","Basic"
"0060M000015ByRhQAK","CMRCL","Other","<1K",0,"AVADO Renewal 361 Sandbox","Renewal","N/A","Other",0,"N","Financial Services","50-200","Premier"
"0060M000013Fi0DQAS","Other","AMER","1K-5K",0,"Nooga Media LLC- (+3) 3 EE","New Business","SDR","Contact Me Form",0,"N","Communications & Media","<50","Basic"
"0060M000015XAkRQAW","CMRCL","AMER","1K-5K",0,"Flo-systems-(+4) 4 PE + PSA + Inbox","New Business","SDR","Pre-Qualified Leads",0,"N","Manufacturing","<50","Basic"
"0060M000013UOyMQAW","ESMB","AMER","1K-5K",0,"Jiles Transcorp Services, LLC-(+3) 3PE & Inbox","New Business","SDR","Sign-Up Form",0,"N","Travel, Transportation, & Hospitality","<50","Basic"
"0063000000s2NEGAA2","Other","AMER","1K-5K",0,"Global Alliance - Webstore","New Business","AE","Other",2272,"N","Other","50-200","Basic"
"0063000000uO9LxAAK","Other","AMER","<1K",0,"Sierra Lumber and Fence-","Add-On Business","AE","Partner Sourced",2086,"N","Engineering, Construction, & Real Estate","50-200","Basic"
"0063000000zDjpjAAC","Other","AMER","5K-10K",0,"BusinessWatch Network (+12-14) 12-14 PE / EE #b1","New Business","AE","Other",1459,"N","Other","<50","Basic"
"0063000000Yh256AAB","CMRCL","LACA","10K-100K",0,"GOL/VARIG-","New Business","AE","Partner Sourced",3103,"N","Travel, Transportation, & Hospitality",">5000","Basic"
"0063000001361zVAAQ","Other","AMER","1K-5K",0,"Graceffa Insurance Group - (+3) 3PE + DDCP","New Business","SDR","Demo Center Registration",959,"N","Financial Services","<50","Basic"
"006300000136RWtAAM","Other","EMEA","10K-100K",0,"Shirley Hollis & CO-2 EE + Pardot","New Business","SDR","Qualified Lead Buy",930,"N","Other","<50","Basic"
"0063000000zjepmAAA","Other","AMER","5K-10K",0,"Ohanasphere- (+6) 6 EE","New Business","SDR","Demo Center Registration",1290,"N","Other","<50","Basic"
"0063000000vUvt9AAC","Other","EMEA","1K-5K",0,"Eterr-15PE","New Business","SDR","Sign-Up Form",2030,"N","Other","50-200","Basic"
"0063000000x5uPKAAY","Other","Other","<1K",0,"Mediation Resolution Specialists Renewal","Other","N/A","Other",1662,"N","Other","<50","Basic"
"0060M000015XmgGQAS","ESMB","AMER","<1K",0,"ArchiveSocial - Webstore","Add-On Business","AE","Other",0,"N","High Tech","<50","Basic"
"0063000000vYJiBAAW","Other","APAC","<1K",0,"INFOSYS LTD - Webstore","New Business","AE","Other",1918,"N","Other","1000-5000","Basic"
"0063000000uOvQ5AAK","Other","EMEA","1K-5K",0,"Devis travaux en Ligne-4PE","New Business","SDR","Demo Center Registration",2060,"N","Professional Services","<50","Basic"
"0063000000s2N3BAAU","Other","APAC","<1K",0,"photon - Webstore","New Business","AE","Other",2272,"N","High Tech","1000-5000","Basic"
"0060M000014FpKGQA0","ENTR","AMER",">500K",0,"Exxon Mobil FSL  Impl SOWxxx","Services Projects","AE","Other",451,"N","Manufacturing",">5000","Basic"
"0060M000014FuH4QAK","ENTR","AMER","<1K",0,"Lear Sales Cloud & Mobility","New Business","BDR","Other",0,"N","Manufacturing",">5000","Premier"
"0060M000014JvkBQAS","ESMB","EMEA","5K-10K",0,"Optal- Pardot","New Business","SDR","Online Content Registration",0,"N","Financial Services","<50","Premier"
"0060M000014eyckQAA","ENTR","Other","<1K",0,"salesforce.com - 62 org attached*-DEV-601-Jan 15, 2018-Sydney Aust-Montu Pradhan","Public","N/A","Other",212,"N","Communications & Media",">5000","Premier"
"0060M000011l7fLQAQ","ENTR","AMER","<1K",0,"John Hancock-  Wave","Add-On Business","ECS","Other",778,"N","Financial Services",">5000","Premier Priority"
"0060M000014Mwy4QAC","CMRCL","LACA","<1K",0,"xxOverride - Services Projects LACA - Commit MONTH","Services Projects","AE","Other",465,"N","Other","<50","Basic"
"0060M000014MwyAQAS","CMRCL","AMER","<1K",0,"xxOverride - Services Projects Salesforce.org (Foundation) - Commit QUARTER","Services Projects","AE","Other",465,"N","Other","<50","Basic"
"00630000012QTkhAAG","ENTR","EMEA","10K-100K",0,"Primagaz - SFA, Community - Pot.","Add-On Business","AE","Partner Sourced",0,"N","Retail & CG",">5000","Premier"
"006300000137veFAAQ","CMRCL","AMER","10K-100K",0,"Betco Corp. - (Upgrade 15 FDC to EE Service Cloud + Customer Communities, Live Agent)","Add-On Business","AE","Other",0,"N","Retail & CG","200-1000","Basic"
"0060M000014h09dQAA","CMRCL","JP","100K-500K",0,"Fine's INC.-EE(1),EAS+10(220),Einstein Analytics(1)","Add-On Business","AE","Other",0,"N","Communications & Media","50-200","Basic"
"00630000012ZBOvAAO","CMRCL","AMER","<1K",0,"Minnesota Council on Foundations -NP Attrition -15Sandbox","Attrition","AE","Other",880,"N","Other","<50","Basic"
"00630000012PdF9AAK","ENTR","EMEA","<1K",0,"The Coca-Cola Company Renewal 1830 Call Center","Renewal","N/A","Other",879,"N","Retail & CG",">5000","Premier"
"00630000012ZLsKAAW","ESMB","APAC","10K-100K",0,"Peter Berry Consultancy - EE Upgrade","Upgrade","AE","Other",0,"N","Professional Services","<50","Basic"
"0060M000014kbezQAA","CMRCL","AMER","<1K",0,"Scripts Rx Pharmacy- + Field Service Lighting","Add-On Business","SDR","E-Book",112,"N","High Tech","50-200","Basic"
"0060M000014kcyiQAA","ENTR","APAC","<1K",0,"ahm Health Insurance-","New Business","BDR","Outbound Call",109,"N","Healthcare & Life Sciences","1000-5000","Premier"
"0060M00001563jFQAQ","CMRCL","AMER","10K-100K",0,"Puppet (+myTrailhead) myTrailhead","Add-On Business","AE","Other",108,"N","High Tech","200-1000","Premier"
"0060M000013VJHlQAO","ESMB","AMER","1K-5K",0,"Yoush Consulting- (+3) 3 PE","New Business","SDR","Inbound Call",0,"N","Professional Services","<50","Basic"
"0063000000zGb2aAAC","ENTR","JP",">500K",0,"NIPPON TELEGRAPH AND TELEPHONE EAST(B&O)-SFA for ""Hikari Cloud"" EE+18(20)","Add-On Business","BDR","Other",1400,"N","Communications & Media","1000-5000","Basic"
"0060M0000143CHkQAM","ENTR","EMEA","100K-500K",0,"Gatwick Commerce Cloud upsell","Add-On Business","AE","Other",0,"N","Travel, Transportation, & Hospitality","1000-5000","Premier"
"0063000000b5YSIAA2","ENTR","EMEA","1K-5K",0,"All Net Sandboxes 19x","Add-On Business","AE","Other",3017,"N","Financial Services","<50","Premier"
"0060M000013wuIkQAI","ESMB","EMEA","<1K",0,"Takipi (15 EE) 3 EE Add on SFInbox","Add-On Business","AE","Other",0,"N","High Tech","<50","Basic"
"0060M000011lJsPQAU","CMRCL","AMER","10K-100K",0,"Campbell & Company - (+Pardot)","Add-On Business","SDR","Other",0,"N","Professional Services","50-200","Premier"
"006300000103dllAAA","ENTR","AMER","5K-10K",0,"Kelly Connect + 150 Customer Portal + 7 CSS Manager","Add-On Business","ECS","Other",1199,"N","Professional Services",">5000","Premier"
"006300000104dvqAAA","CMRCL","AMER","<1K",0,"Midwest Operating Engineers IT Services- AMER-DEV-401-Jun 1, 2015-Chicago US:Salesforce- Brian Sierakowski","Public","N/A","Other",1193,"N","Other","200-1000","Premier"
"00630000010NulZAAS","CMRCL","AMER","10K-100K",0,"Cole Capital Partners - Event Monitoring","Add-On Business","AE","Other",1193,"N","Financial Services","200-1000","Premier"
"00630000011is0KAAQ","ENTR","AMER","10K-100K",0,"Chevron - Oronite - Lotus Notes Replacement","Add-On Business","AE","Other",0,"N","Other","200-1000","Premier"
"0060M000013jvhFQAQ","CMRCL","AMER","5K-10K",0,"Bypass Mobile, LLC - Interactive CPQ Webinar","Upgrade","AE","Other",638,"N","Professional Services","50-200","Basic"
"0060M0000156RdcQAE","CMRCL","AMER","1K-5K",0,"Sphera Solutions Inc-ADX-231-Jun 11, 2018-Virtual Training Unit-Sara Walther","Public","N/A","Other",85,"N","High Tech","200-1000","Basic"
"0060M000014sXTLQA2","CMRCL","AMER","10K-100K",0,"SSI - Packaging Divison (+Pardot) 22 EE + Pardot","Add-On Business","BDR","Other",0,"N","Manufacturing","200-1000","Premier"
"0060M000014FNbWQAW","CMRCL","AMER","5K-10K",0,"Galactic-(+10) 10 PE","New Business","SDR","Pre-Qualified Leads",0,"N","Professional Services","50-200","Basic"
"0063000000uOlX6AAK","CMRCL","AMER","10K-100K",0,"Unisyn Medical Technologies, Inc Renewal 30 EE","Contract","N/A","Other",2066,"N","Healthcare & Life Sciences","50-200","Basic"
"0063000000vWcQfAAK","ENTR","AMER","100K-500K",0,"DHL Renewal 191 UE, 1 Data","Contract","N/A","Other",1971,"N","Travel, Transportation, & Hospitality",">5000","Premier"
"00630000012Zs8oAAC","CMRCL","AMER","10K-100K",0,"bella crescita-(+30)30PE+service+pardot","New Business","SDR","Demo Center Registration",0,"N","Professional Services","200-1000","Basic"
"0060M000014FnajQAC","ENTR","AMER","10K-100K",0,"CDK Global, Inc - ARNA- Services Credit Allocation","Public","N/A","Other",455,"N","High Tech","1000-5000","Premier"
"00630000012XQ6vAAG","CMRCL","AMER","<1K",0,"Virgin Healthmiles - Webstore","Add-On Business","AE","Other",1004,"N","Professional Services","200-1000","Premier"
"00630000012yPMYAA2","ENTR","JP",">500K",0,"YKK CORPORATION -Force.com FEA +300(430)[EBR]","Add-On Business","BDR","Other",0,"N","Retail & CG",">5000","Premier"
"00630000012PADbAAO","ENTR","APAC","10K-100K",0,"Aristocrat Technologies - Platform","New Business","BDR","Other",1004,"N","High Tech","1000-5000","Basic"
"006300000137PUZAA2","ENTR","AMER","10K-100K",0,"Deloitte Financial Technology + (15 EE) Service","New Business","BDR","Other",0,"N","Professional Services",">5000","Premier"
"006300000137knvAAA","CMRCL","AMER","10K-100K",0,"Varde Partners Inc SalesforceIQ inbox +90 (90)","Add-On Business","AE","Other",841,"N","Financial Services","50-200","Premier"
"0060M0000143SqlQAE","CMRCL","AMER","5K-10K",0,"MC - Varde Partners - Additional BU","Add-On Business","AE","Other",0,"N","Financial Services","50-200","Premier"
"006300000137kj0AAA","CMRCL","EMEA","<1K",0,"Scottish Council for Voluntary Organisations (SCVO) - Webstore","Add-On Business","AE","Other",0,"N","Professional Services","50-200","Basic"
"0060M000014mLBgQAM","CMRCL","APAC","10K-100K",0,"Hong Kong Exchange SFA SOW001","Services Projects","AE","Other",0,"N","Financial Services","1000-5000","Premier"
"0060M000014mKlxQAE","ENTR","EMEA","100K-500K",0,"Barry Callebaut - T&M - Sustainability Tracking Tool","Services Projects","AE","Other",212,"N","Retail & CG","1000-5000","Premier"
"0060M000014jbXTQAY","CMRCL","AMER","<1K",0,"Oakland Strokes- (+6) 6 EE + Inbox","New Business","SDR","Sign-Up Form",212,"N","Engineering, Construction, & Real Estate","<50","Basic"
"0060M000014qcHZQAY","ESMB","AMER","1K-5K",0,"Mainstay Global- (+5 Essentials","New Business","SDR","Chat",0,"N","Financial Services","<50","Basic"
"0060M000014jcA1QAI","US PS","AMER","5K-10K",0,"Northern Ontario School Of Medicine-(+10) 10 PE + Communities + Force.com","New Business","SDR","Other",0,"N","Healthcare & Life Sciences","50-200","Basic"
"0060M000014i7hzQAA","ENTR","EMEA","10K-100K",0,"Heathrow - Employee Engagement - (BDR)","New Business","BDR","Other",0,"N","Travel, Transportation, & Hospitality",">5000","Premier"
"0060M000014NzGpQAK","ESMB","AMER","<1K",0,"Financial Research Solutions - Webstore","Add-On Business","AE","Other",0,"N","Financial Services","<50","Basic"
"0060M000014NzMJQA0","ESMB","AMER","1K-5K",0,"Hydraulic Connections- (+4) 4 PE &  (+4)4 Salesforce Inbox","New Business","SDR","Inbound Call",0,"N","Retail & CG","<50","Basic"
"0060M000014Za2eQAC","ESMB","AMER","1K-5K",0,"Symmone Wealth Management- (+1) 1 PE + DDCP #DOP18","New Business","SDR","Demo Center Registration",0,"N","Financial Services","<50","Basic"
"0060M000011l8WUQAY","Other","AMER","<1K",0,"ISV - Akritiv Technologies, Inc (Partner Main*) - ESM (Enterprise Supplier Management) - Native","Other","N/A","Other",1,"N","Other","<50","Partner Premier + Account Manager"
"0063000000s68qhAAA","ESMB","AMER","1K-5K",0,"Sandbox Industries (+1) 14 EE","Add-On Business","AE","Other",2187,"N","Financial Services","<50","Premier"
"0063000000wKpZAAA0","ENTR","AMER","<1K",0,"AVX Corporation - (+200) 200 UE CSS","New Business","BDR","Other",1843,"N","High Tech",">5000","Basic"
"0060M000015G9w4QAC","ESMB","JP",">500K",0,"BIT MOTHER, K.K.-PE+5(5),premier","New Business","SDR","E-Book",0,"N","High Tech","<50","Basic"
"0060M00001447HGQAY","ENTR","EMEA","100K-500K",0,"MC - PARSHIP GmbH - CE - NB (SHADOW)","New Business","AE","Other",427,"N","Healthcare & Life Sciences","50-200","Other"
"0060M000014NJ0dQAG","CMRCL","AMER","1K-5K",0,"MoldingSearch.Com-(+1) 1 PE + Inbox","New Business","SDR","Demo Center Registration",0,"N","Professional Services","<50","Basic"
"0060M000014NI79QAG","ENTR","EMEA","10K-100K",0,"First 4 Farming - Lightning CRM","Add-On Business","ECS","Other",0,"N","High Tech","50-200","Premier"
"0060M000014NIhRQAW","Other","AMER","<1K",0,"Bootcamp Case Study ( +100) 100EE","New Business","N/A","Other",427,"N","High Tech","200-1000","Basic"
"0060M000014NIrHQAW","CMRCL","AMER","10K-100K",0,"AM Industrial Group - Pardot Pro","Add-On Business","AE","Other",427,"N","Other","50-200","Basic"
"0060M000014476IQAQ","ESMB","EMEA","1K-5K",0,"GZ Beratungs- und Beteiligungs GmbH- 3 Sales PE","New Business","SDR","Demo Center Registration",0,"N","Professional Services","<50","Basic"
"0063000000e1B2kAAE","Other","AMER","<1K",0,"JM Development- (+1) 1GE","New Business","SDR","Sign-Up Form (CME)",2894,"N","Engineering, Construction, & Real Estate","<50","Basic"
"0063000000aNmXRAA0","CMRCL","APAC","1K-5K",0,"Connector Systems- EE upgrade","Upgrade","AE","Partner Sourced",3032,"N","High Tech","50-200","Basic"
"0063000000hy9qEAAQ","ENTR","AMER","<1K",0,"Skinceuticals, Inc. - PLACEHOLDER - JAN","New Business","BDR","Other",2765,"N","Healthcare & Life Sciences","50-200","Basic"
"00630000012PW69AAG","CMRCL","AMER","10K-100K",0,"Cataldo Ambulance Service - (+10) 10EE NEW LOGO","New Business","SDR","Contact Me Form",0,"N","Travel, Transportation, & Hospitality","200-1000","Basic"
"0060M000011kd4BQAQ","ENTR","JP","<1K",0,"【Reseller】TOYO KOHAN CO.,LTD.-EE(2),FE(EA)+110(120),PremierSuccessPlan","New Business","AE","Other",0,"N","Manufacturing","1000-5000","Basic"
"0060M000013UYerQAG","ENTR","EMEA","10K-100K",0,"OAMPS (UK) UNDERWRITING SERVICES LTD - PXE Upgrade","New Business","AE","Other",0,"N","Financial Services","50-200","Premier"
"0060M000013UYdyQAG","CMRCL","AMER","10K-100K",0,"Industry Standard Research +Pardot Std","New Business","AE","Other",0,"N","Professional Services","<50","Basic"
"00630000010PTG0AAO","ESMB","EMEA","<1K",0,"Finnovate Research-1PE","New Business","SDR","Sign-Up Form",1129,"N","Professional Services","<50","Basic"
"0063000000zjfLOAAY","CMRCL","AMER","1K-5K",0,"Tax Advisory Group LLC - 3 GE > 3 PE Upgrade","Upgrade","AE","Other",1290,"N","Professional Services","<50","Basic"
"00630000012Dn18AAC","ESMB","APAC","<1K",0,"Nooinq","New Business","SDR","Other",1059,"N","Education","<50","Basic"
"0060M000014gAZuQAM","CMRCL","AMER","<1K",0,"Crutchfield Renewal 24 SFA, 2 Pardot, 43 Org Permission...","Renewal","N/A","Other",0,"N","Retail & CG","200-1000","Basic"
"00630000012QTbuAAG","CMRCL","EMEA","<1K",0,"Anvilab - Chatter - Add-on 20 Licenses","Add-On Business","AE","Partner Sourced",829,"N","Healthcare & Life Sciences","200-1000","Basic"
"0063000000s3oVsAAI","Other","AMER","1K-5K",0,"People Biz, Inc.- (+7) 7 GE","New Business","SDR","Demo Center Registration",2242,"N","Professional Services","<50","Basic"
"0060M000014gr7WQAQ","CMRCL","AMER","10K-100K",0,"CCAP Cable- (+12) 12 Service Cloud EE + Live Agent + Live Message","New Business","SDR","Other",0,"N","Other","50-200","Basic"
"00630000012ZBPAAA4","CMRCL","AMER","<1K",0,"Springboard Collaborative -NP Attrition -Portal","Attrition","AE","Other",880,"N","Healthcare & Life Sciences","50-200","Basic"
"00630000012PdFLAA0","CMRCL","AMER","<1K",0,"The Coca-Cola Company Renewal 1 Support","Renewal","N/A","Other",0,"N","Retail & CG",">5000","Premier"
"00630000012ZDQQAA4","ESMB","APAC","10K-100K",0,"OTIC HEARING SOLUTIONS PVT. LTD.,-(+30) 30PE","New Business","SDR","Contact Me Form",0,"N","Healthcare & Life Sciences","50-200","Basic"
"00630000012PiEcAAK","US PS","AMER","<1K",0,"EPA- Office of Pollution Prevention and Toxics - RAD Renewal","Renewal","N/A","Other",0,"N","Public Sector","<50","Premier"
"0060M000014nf7PQAQ","CMRCL","Other","<1K",0,"(DUP) CC - RENEWAL - ALSAC - DIGITAL - 27 OCT 2020","Renewal","N/A","Other",0,"N","Healthcare & Life Sciences","1000-5000","Basic"
"0060M000014nf7WQAQ","CMRCL","Other","<1K",0,"(DUP) CC - RENEWAL - The Jewellery Channel - DIGITAL - 31 OCT 2020","Renewal","N/A","Other",0,"N","Retail & CG","200-1000","Basic"
